,Open,High,Low,Close,Volume
2023-01-31 10:41:00,220.294,220.459,220.117,220.337,801.0
2023-01-31 10:40:00,220.422,220.45,220.362,220.405,100.0
2023-01-31 10:39:00,220.191,220.332,220.131,220.287,342.0
2023-01-31 10:38:00,220.225,220.253,220.166,220.208,100.0
2023-01-31 10:35:00,220.009,220.037,219.95,219.992,200.0
2023-01-31 10:34:00,219.911,219.939,219.852,219.894,100.0
2023-01-31 10:33:00,219.921,219.959,219.842,219.884,300.0
2023-01-31 10:27:00,219.224,219.252,219.008,219.05,311.0
2023-01-31 10:25:00,219.509,219.547,219.077,219.423,628.0
2023-01-31 10:24:00,219.84,219.868,219.547,219.59,500.0
2023-01-31 10:23:00,219.833,219.861,219.66,219.767,2300.0
2023-01-31 10:22:00,219.852,220.224,219.793,219.835,6098.0
2023-01-31 10:21:00,219.801,219.829,219.714,219.757,200.0
2023-01-31 10:20:00,220.441,220.469,220.303,220.351,300.0
2023-01-31 10:18:00,219.636,219.664,219.577,219.62,100.0
2023-01-31 10:13:00,219.106,219.134,219.047,219.09,100.0
2023-01-31 10:09:00,219.106,219.134,218.743,218.785,200.0
2023-01-31 10:08:00,219.185,219.213,219.126,219.168,500.0
2023-01-31 10:06:00,219.087,219.115,219.027,219.07,111.0
2023-01-31 10:04:00,218.321,218.82,218.213,218.658,1455.0
2023-01-31 10:01:00,218.468,218.496,218.409,218.452,100.0
2023-01-31 10:00:00,218.518,218.712,218.458,218.599,700.0
2023-01-31 09:59:00,218.351,218.545,218.292,218.501,500.0
2023-01-31 09:58:00,218.361,218.388,218.301,218.344,100.0
2023-01-31 09:57:00,218.361,218.388,218.301,218.344,100.0
2023-01-31 09:55:00,218.356,218.383,218.296,218.339,500.0
2023-01-31 09:54:00,218.351,218.565,217.948,218.324,2350.0
2023-01-31 09:52:00,218.091,218.118,218.032,218.074,200.0
2023-01-31 09:47:00,217.818,217.846,217.759,217.801,100.0
2023-01-31 09:42:00,217.492,217.52,217.433,217.475,100.0
2023-01-31 09:41:00,217.972,218.0,217.913,217.955,200.0
2023-01-31 09:38:00,217.389,217.417,217.33,217.372,100.0
2023-01-31 09:37:00,217.659,217.687,217.6,217.642,100.0
2023-01-31 09:36:00,217.227,217.417,216.962,217.171,1633.0
2023-01-31 09:34:00,217.217,217.245,217.158,217.2,100.0
2023-01-31 09:33:00,217.05,217.779,216.992,217.734,200.0
2023-01-31 09:32:00,217.88,217.907,216.977,217.019,940.0
